Country,Gender,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cambodia,Female,19.55238,19.58032,19.62565,19.68502,19.7497,19.81632,19.88158,19.94868,20.01792,20.07926,20.14142,20.21236,20.28202,20.35037,20.41932,20.49113,20.55375,20.61301,20.67523,20.76358,20.86207,20.97516,21.08197,21.18149,21.27355,21.3799,21.48615,21.59359,21.69608
Cameroon,Female,21.52202,21.64721,21.78201,21.91054,22.04621,22.18679,22.32596,22.44293,22.54006,22.62573,22.70601,22.77285,22.84369,22.90583,22.97165,23.04433,23.12848,23.23849,23.36805,23.50664,23.66765,23.82855,23.99221,24.15956,24.32915,24.49248,24.64737,24.79912,24.9527
Canada,Female,24.09921,24.20033,24.29829,24.39552,24.50234,24.61321,24.72117,24.83096,24.93661,25.046,25.14319,25.22367,25.30642,25.39836,25.49248,25.58741,25.68735,25.79637,25.91079,26.01716,26.11965,26.2145,26.29888,26.3795,26.45484,26.51921,26.58187,26.6421,26.69829
Cape Verde,Female,20.76834,20.92917,21.08539,21.26476,21.42395,21.56972,21.69703,21.78503,21.91598,22.04334,22.16677,22.29279,22.42647,22.57888,22.73411,22.88982,23.04963,23.2206,23.37736,23.55057,23.73321,23.89848,24.05403,24.21206,24.36821,24.51781,24.66432,24.81388,24.96136
Central African Rep.,Female,19.86438,19.94146,20.0128,20.06132,20.10716,20.15377,20.21535,20.27017,20.33582,20.41186,20.49137,20.5693,20.63324,20.69771,20.77622,20.86568,20.94705,21.04252,21.14819,21.26699,21.39235,21.52312,21.65306,21.77313,21.89388,22.01089,22.1374,22.26918,22.40158
Chad,Female,19.17238,19.19621,19.22638,19.27967,19.3374,19.44676,19.53491,19.60911,19.71453,19.81982,19.90881,20.02533,20.14354,20.22948,20.33359,20.43496,20.53392,20.64782,20.76043,20.87342,20.97976,21.08121,21.18393,21.30248,21.44518,21.58676,21.72089,21.8377,21.95424
Chile,Female,23.98293,24.14295,24.26083,24.36695,24.47601,24.57872,24.6857,24.79781,24.91001,25.02951,25.16493,25.30107,25.47528,25.65157,25.82232,26.01776,26.2099,26.38454,26.55244,26.70035,26.84574,26.98724,27.13405,27.26867,27.39912,27.53305,27.67001,27.79856,27.92807
China,Female,21.91721,21.90834,21.91792,21.93416,21.96185,21.99321,22.02733,22.05982,22.08346,22.09101,22.10147,22.11669,22.15367,22.19982,22.25368,22.31248,22.37993,22.43812,22.49949,22.54523,22.60003,22.64198,22.67688,22.72156,22.77469,22.82195,22.85678,22.88607,22.91041
Colombia,Female,23.41736,23.5646,23.69855,23.82533,23.94818,24.06766,24.18964,24.31597,24.43749,24.56007,24.68184,24.79842,24.91628,25.03867,25.16083,25.28646,25.4035,25.51138,25.608,25.68912,25.76325,25.82815,25.88257,25.93727,25.99028,26.04024,26.09901,26.16262,26.22529
Comoros,Female,20.83725,20.87352,20.91591,20.96267,21.01693,21.07429,21.13969,21.20464,21.27295,21.3604,21.46055,21.55173,21.63533,21.7114,21.76424,21.81977,21.87054,21.91443,21.94603,21.97908,22.00916,22.04251,22.08826,22.13929,22.19608,22.2568,22.31975,22.38153,22.44433
"Congo, Dem. Rep.",Female,19.78312,19.84035,19.89003,19.94744,20.01279,20.08304,20.16304,20.24448,20.32624,20.40642,20.48744,20.55164,20.59772,20.62202,20.6396,20.65093,20.6667,20.68731,20.72047,20.75519,20.79511,20.84604,20.91397,21.01189,21.12111,21.24306,21.37516,21.51727,21.6677
"Congo, Rep.",Female,19.84067,19.98163,20.14729,20.31211,20.48106,20.63071,20.75161,20.86476,20.96354,21.05274,21.13824,21.2176,21.29751,21.37147,21.43806,21.50901,21.59139,21.68085,21.77958,21.88073,21.99779,22.12915,22.26737,22.40105,22.54009,22.68496,22.83381,22.97,23.10824
Cook Islands,Female,26.32511,26.65851,27.00489,27.32601,27.66007,27.98246,28.29098,28.57985,28.85948,29.11959,29.36968,29.62896,29.89055,30.15101,30.40101,30.63062,30.86255,31.08613,31.31149,31.55542,31.81515,32.08724,32.34657,32.62107,32.89217,33.16385,33.42907,33.69174,33.94976
Costa Rica,Female,23.37917,23.49898,23.59381,23.6941,23.79899,23.90999,24.02919,24.14956,24.2835,24.40838,24.54989,24.69795,24.85564,25.02416,25.19336,25.3609,25.52029,25.66899,25.81207,25.94772,26.07532,26.18898,26.29537,26.40918,26.53201,26.65358,26.7814,26.90884,27.03497
Cote d'Ivoire,Female,21.2528,21.34631,21.43125,21.51484,21.58632,21.65411,21.73472,21.81085,21.88209,21.96782,22.0378,22.10582,22.17643,22.2521,22.31907,22.40325,22.50263,22.6079,22.71985,22.83242,22.9484,23.05647,23.16914,23.27574,23.38481,23.49302,23.60347,23.71021,23.82088
Croatia,Female,25.17299,25.17183,25.16529,25.15844,25.14873,25.14191,25.13127,25.10691,25.07624,25.03804,24.98815,24.89799,24.79636,24.68412,24.60722,24.56832,24.55297,24.55187,24.56338,24.5901,24.63296,24.69418,24.78217,24.86884,24.94352,25.01465,25.06832,25.12974,25.17882
Cuba,Female,23.79721,23.9242,24.05473,24.19075,24.32081,24.46398,24.60699,24.72643,24.84021,24.93768,25.02521,25.08469,25.08819,25.07141,25.05412,25.059,25.09156,25.1423,25.20769,25.3054,25.441,25.57658,25.73888,25.88304,26.03661,26.18459,26.32865,26.45295,26.57614
Cyprus,Female,23.79843,23.8853,23.98458,24.08281,24.1944,24.29863,24.38792,24.45966,24.53225,24.62185,24.70891,24.79323,24.88728,24.98829,25.06992,25.18044,25.24982,25.3215,25.39555,25.46393,25.52631,25.57712,25.63186,25.67421,25.71934,25.77066,25.83593,25.87751,25.92587
Czech Rep.,Female,26.80407,26.80145,26.80246,26.7959,26.78716,26.77398,26.75867,26.74115,26.71264,26.68982,26.66406,26.60544,26.55507,26.50459,26.46325,26.44868,26.45455,26.45674,26.46605,26.45971,26.45268,26.46389,26.46608,26.47052,26.48232,26.47911,26.50878,26.50704,26.51348
Denmark,Female,23.38133,23.43183,23.49431,23.54211,23.59034,23.648,23.71487,23.77701,23.84211,23.89212,23.94259,24.01299,24.09891,24.18169,24.26514,24.34591,24.39996,24.47449,24.5407,24.59536,24.64453,24.69374,24.74319,24.7987,24.8695,24.92329,24.98768,25.0482,25.10627
Djibouti,Female,21.95263,22.02949,22.11722,22.20435,22.30462,22.40102,22.5014,22.59962,22.70629,22.79155,22.87222,22.93125,22.99171,23.06093,23.12122,23.19854,23.27071,23.33524,23.4057,23.4863,23.56684,23.64807,23.74615,23.85033,23.95265,24.06884,24.18809,24.28393,24.38177
Dominica,Female,24.98288,25.12133,25.27661,25.40247,25.53941,25.67662,25.8256,25.97479,26.12208,26.27425,26.42616,26.56057,26.70031,26.83472,26.97868,27.1092,27.24627,27.37954,27.51322,27.65704,27.83015,27.96251,28.09965,28.22883,28.34005,28.45255,28.55824,28.67354,28.7839
Dominican Rep.,Female,22.64588,22.79814,22.94307,23.08591,23.22059,23.35493,23.48781,23.61556,23.73575,23.86203,23.97277,24.08743,24.22669,24.37787,24.53988,24.69881,24.86623,25.04256,25.22387,25.40646,25.59628,25.77402,25.94998,26.10141,26.25426,26.40703,26.55903,26.71391,26.87005
Ecuador,Female,24.71972,24.8378,24.94091,25.02931,25.1183,25.19925,25.28809,25.36395,25.4516,25.54268,25.61809,25.68769,25.76615,25.83786,25.92154,26.00809,26.09707,26.1944,26.27697,26.35168,26.41458,26.48262,26.55303,26.62253,26.70127,26.78637,26.87529,26.9646,27.06269
Egypt,Female,25.43077,25.63318,25.83357,26.02519,26.20682,26.38088,26.54896,26.71338,26.86903,27.01317,27.16286,27.30697,27.45217,27.59839,27.752,27.91628,28.09558,28.27913,28.46474,28.65712,28.84879,29.03225,29.20828,29.37144,29.52119,29.66619,29.80682,29.95573,30.09997
El Salvador,Female,23.6643,23.79664,23.9182,24.04013,24.16268,24.28476,24.40299,24.52525,24.64966,24.7785,24.91805,25.05858,25.21249,25.36823,25.52531,25.69331,25.86083,26.03133,26.20243,26.36937,26.54081,26.71558,26.8835,27.04576,27.20395,27.36747,27.52055,27.67914,27.84092
Equatorial Guinea,Female,20.08512,20.17828,20.26365,20.34326,20.43541,20.51032,20.58421,20.66468,20.75175,20.84254,20.9441,21.04068,21.14766,21.26046,21.36624,21.49731,21.65067,21.87742,22.10901,22.37173,22.62966,22.91532,23.19161,23.45269,23.71526,23.95374,24.15697,24.34837,24.52837
Eritrea,Female,18.63684,18.71241,18.79083,18.85964,18.92637,19.00152,19.084,19.16122,19.24402,19.32084,19.3935,19.47151,19.56208,19.65939,19.76938,19.87757,19.99555,20.11762,20.23286,20.34381,20.42769,20.51584,20.60579,20.68341,20.75676,20.83406,20.91343,20.9984,21.08232
Estonia,Female,25.99215,25.9235,25.85909,25.79263,25.72062,25.64465,25.57589,25.5024,25.41911,25.33636,25.24596,25.1335,25.00342,24.88368,24.78486,24.72344,24.70892,24.70662,24.728,24.77032,24.8143,24.87022,24.92251,24.97842,25.02737,25.0764,25.1088,25.15141,25.18598
Ethiopia,Female,18.75781,18.81757,18.87934,18.93904,18.98441,19.02616,19.08186,19.12803,19.19111,19.24107,19.29207,19.32588,19.36864,19.42975,19.49796,19.56716,19.65104,19.73613,19.81617,19.90667,19.99806,20.09382,20.1839,20.26137,20.34391,20.43111,20.52046,20.61484,20.71463
Fiji,Female,23.54419,23.77847,23.99169,24.1705,24.36866,24.57865,24.77139,24.94611,25.11844,25.29832,25.49417,25.70165,25.90212,26.11345,26.32099,26.52898,26.74471,26.95052,27.1409,27.35674,27.58021,27.81091,28.05165,28.27612,28.49849,28.71777,28.93759,29.1402,29.33941
Finland,Female,24.98852,24.99879,25.01531,25.02775,25.0422,25.05974,25.08167,25.10498,25.14281,25.19364,25.23017,25.25007,25.26479,25.26404,25.26391,25.26985,25.27653,25.29758,25.31869,25.34276,25.36981,25.39521,25.41902,25.44332,25.4718,25.50081,25.52971,25.55775,25.58418
France,Female,24.14603,24.17227,24.19774,24.21969,24.23314,24.25001,24.26522,24.28881,24.32352,24.36112,24.39446,24.42828,24.45819,24.4818,24.49754,24.51697,24.54057,24.56626,24.59732,24.62642,24.65746,24.69151,24.72699,24.7537,24.77467,24.79473,24.81034,24.82031,24.82949
French Polynesia,Female,26.29414,26.4994,26.71162,26.92477,27.14486,27.36843,27.58765,27.81002,27.98564,28.2151,28.44419,28.62782,28.81255,28.99505,29.21757,29.40362,29.61634,29.82657,30.0442,30.22282,30.4384,30.65485,30.87058,31.07601,31.27705,31.47994,31.67354,31.86938,32.06648
Gabon,Female,21.903,22.02049,22.13363,22.23929,22.3582,22.46353,22.56431,22.66049,22.77291,22.8877,23.00592,23.14247,23.26579,23.41311,23.55586,23.71741,23.89582,24.07538,24.26376,24.43896,24.60761,24.76765,24.91982,25.07514,25.23539,25.40611,25.58094,25.76457,25.95121
Gambia,Female,20.03307,20.14893,20.27363,20.41185,20.55073,20.69229,20.86157,21.02528,21.18862,21.36146,21.53997,21.71549,21.87857,22.04121,22.19134,22.3403,22.49764,22.66777,22.8482,23.04659,23.23764,23.43574,23.63134,23.81644,24.01381,24.20729,24.41034,24.61564,24.82101
Georgia,Female,25.7688,25.81893,25.86046,25.91248,25.95523,26.00093,26.03347,26.06067,26.08604,26.09822,26.08228,26.01797,25.88204,25.70626,25.56143,25.48309,25.45346,25.46192,25.49816,25.54228,25.59522,25.67591,25.77232,25.88601,26.00189,26.1218,26.21885,26.34015,26.45014
Germany,Female,24.72684,24.77291,24.81385,24.85018,24.88941,24.9334,24.97543,25.012,25.0546,25.10253,25.14284,25.1968,25.25234,25.28572,25.31828,25.35103,25.39147,25.42401,25.4601,25.48559,25.51645,25.54752,25.57631,25.60041,25.62407,25.64736,25.67338,25.70588,25.73903
Ghana,Female,20.88734,20.92107,20.9527,20.98174,21.05385,21.12942,21.22626,21.34407,21.46354,21.5896,21.69897,21.8301,21.97155,22.11708,22.25509,22.39609,22.54765,22.69738,22.85303,23.00865,23.17104,23.32327,23.47061,23.6076,23.75587,23.89845,24.04518,24.19248,24.33014
Greece,Female,24.08765,24.12624,24.15597,24.17237,24.20835,24.24274,24.24868,24.26067,24.29445,24.33792,24.36139,24.39794,24.43087,24.45173,24.48214,24.50314,24.53248,24.56323,24.58858,24.62485,24.65409,24.69536,24.73157,24.77047,24.8148,24.84957,24.87347,24.89717,24.92026
Greenland,Female,25.88384,25.93564,25.97113,26.0033,26.03245,26.04354,26.06956,26.0922,26.1235,26.16381,26.18693,26.21166,26.22446,26.23635,26.25965,26.29168,26.32197,26.35991,26.39041,26.42237,26.4604,26.49154,26.52729,26.55802,26.58244,26.61248,26.63008,26.65427,26.68019
Grenada,Female,24.04597,24.13171,24.21969,24.30735,24.40606,24.50783,24.62475,24.75666,24.8882,25.02804,25.17063,25.317,25.45151,25.58239,25.70459,25.80682,25.91009,25.99494,26.08856,26.19033,26.29778,26.42088,26.54267,26.66401,26.777,26.88584,27.0136,27.17113,27.31948
Guatemala,Female,22.89971,23.06741,23.20926,23.3296,23.44,23.54743,23.67025,23.78384,23.90705,24.03159,24.16488,24.30263,24.43747,24.58809,24.74387,24.90045,25.05412,25.20292,25.35308,25.50237,25.65081,25.7983,25.94954,26.09578,26.23879,26.39038,26.54244,26.69132,26.84324
Guinea,Female,20.44329,20.51619,20.58161,20.63402,20.68589,20.73221,20.78547,20.83604,20.89736,20.95652,21.01443,21.07575,21.14527,21.22004,21.29019,21.36783,21.44557,21.51949,21.60001,21.68763,21.77557,21.86325,21.94696,22.03484,22.11969,22.2031,22.28621,22.36866,22.45206
Guinea-Bissau,Female,20.40513,20.49294,20.59179,20.675,20.76694,20.89628,21.01211,21.12281,21.22668,21.34037,21.45044,21.56185,21.64465,21.71603,21.81184,21.91092,22.00961,22.10954,22.15294,22.21341,22.31093,22.38076,22.44935,22.52072,22.59053,22.66677,22.74922,22.83426,22.92809
Guyana,Female,23.65107,23.74806,23.82198,23.891,23.95368,24.01087,24.07125,24.13336,24.18794,24.2377,24.29163,24.35736,24.44279,24.5558,24.69073,24.83792,25.00096,25.18308,25.34085,25.49595,25.65099,25.79045,25.90456,26.01162,26.1049,26.19419,26.28613,26.38021,26.47019
Haiti,Female,20.78064,20.89256,20.98885,21.08064,21.16507,21.24377,21.31441,21.37058,21.42735,21.47903,21.54279,21.60869,21.66347,21.73619,21.79867,21.88019,21.97794,22.08731,22.20486,22.32548,22.44865,22.56373,22.67272,22.77451,22.87117,22.96552,23.06579,23.16703,23.27785
Honduras,Female,23.04351,23.18351,23.30691,23.42898,23.54844,23.67424,23.8001,23.93356,24.06576,24.20283,24.33792,24.46561,24.60583,24.7448,24.87762,25.01803,25.1578,25.30661,25.44737,25.58086,25.71006,25.84835,25.97615,26.10137,26.22448,26.34798,26.47162,26.59844,26.73191
"Hong Kong, China",Female,21.66421,21.76611,21.84656,21.9341,22.02932,22.10794,22.19733,22.29173,22.38121,22.47895,22.58615,22.67649,22.77609,22.86113,22.95157,23.05497,23.13648,23.20215,23.23912,23.2796,23.31886,23.36446,23.40358,23.43725,23.47954,23.53137,23.59309,23.65279,23.71046
Hungary,Female,25.13507,25.17321,25.21421,25.25135,25.27869,25.30673,25.33808,25.38074,25.41349,25.45073,25.48366,25.47783,25.47359,25.46568,25.44904,25.42944,25.41035,25.41105,25.42573,25.44232,25.48417,25.53785,25.59566,25.66159,25.73092,25.79163,25.86668,25.9238,25.97839
Iceland,Female,24.09761,24.29881,24.45495,24.56088,24.62177,24.68256,24.77409,24.81791,24.82863,24.85057,24.85192,24.87515,24.9051,24.95193,25.0244,25.05366,25.09346,25.14811,25.22789,25.30568,25.38278,25.44573,25.50528,25.58433,25.67006,25.77116,25.86215,25.95056,26.02599
India,Female,20.48016,20.48859,20.49665,20.51533,20.52994,20.54383,20.55028,20.56082,20.58607,20.61284,20.62835,20.64419,20.67087,20.68268,20.70061,20.72626,20.76592,20.80153,20.84703,20.90196,20.9538,20.99987,21.03814,21.09123,21.13004,21.171,21.21871,21.26588,21.31478
Indonesia,Female,20.08369,20.19454,20.28468,20.37726,20.47609,20.56844,20.66597,20.76708,20.87595,20.99516,21.0856,21.18213,21.29008,21.40118,21.51758,21.65178,21.78945,21.91282,22.01232,22.11043,22.21378,22.30853,22.40431,22.49796,22.59065,22.68538,22.78184,22.8804,22.98693
Iran,Female,23.38494,23.45734,23.53943,23.63607,23.72762,23.81573,23.89237,23.96741,24.02805,24.11676,24.23397,24.35892,24.50362,24.65179,24.79801,24.9448,25.10716,25.27364,25.44013,25.61132,25.7761,25.9515,26.13108,26.29888,26.48876,26.68205,26.86079,27.04876,27.23608
Iraq,Female,26.24688,26.36065,26.46362,26.56259,26.64706,26.72024,26.79769,26.88146,26.95163,27.03024,27.08991,27.03853,27.02735,27.05027,27.087,27.11444,27.18846,27.25372,27.35886,27.50665,27.6393,27.79699,27.93361,28.00681,28.07956,28.14938,28.22879,28.31717,28.41117
Ireland,Female,24.64401,24.70269,24.76923,24.81401,24.86197,24.9116,24.96628,25.00902,25.05364,25.10936,25.18462,25.24949,25.32398,25.38683,25.45621,25.52618,25.60597,25.71555,25.81624,25.91734,26.01992,26.11248,26.19135,26.26714,26.33215,26.38735,26.46677,26.55051,26.62176
Israel,Female,24.37255,24.45183,24.53694,24.63067,24.72481,24.82734,24.94517,25.06978,25.18365,25.29896,25.41266,25.52754,25.64972,25.75496,25.85804,25.97347,26.08817,26.1943,26.3075,26.41591,26.51968,26.62367,26.72752,26.82138,26.92631,27.02522,27.115,27.20526,27.30192
Italy,Female,25.20628,25.17796,25.13606,25.08761,25.04221,25.00363,24.97043,24.94447,24.92167,24.90226,24.88329,24.87936,24.86551,24.83627,24.81607,24.79927,24.78413,24.7704,24.76559,24.7621,24.76417,24.76624,24.76686,24.76955,24.77988,24.78507,24.78846,24.78988,24.79289
Jamaica,Female,24.70224,24.75886,24.80472,24.86046,24.93347,24.98664,25.05218,25.136,25.22088,25.31608,25.40459,25.49028,25.58586,25.70029,25.82132,25.93828,26.05993,26.16098,26.26252,26.36306,26.45429,26.55815,26.64816,26.74787,26.83194,26.93054,27.03315,27.1298,27.22601
